currency	exchange_rate
AED	3.93472
AFN	96.41303
ALL	116.513325
AMD	422.815449
ANG	1.930804
AOA	540.255926
ARS	205.322921
AUD	1.53893
AWG	1.928268
AZN	1.814619
BAM	1.962765
BBD	2.163203
BDT	114.528445
BGN	1.95869
BHD	0.40374
BIF	2217.508696
BMD	1.07126
BND	1.427731
BOB	7.40302
BRL	5.551297
BSD	1.071366
BTC	4.9686903e-05
BTN	88.571048
BWP	14.060178
BYN	2.704757
BYR	20996.700693
BZD	2.159561
CAD	1.429281
CDF	2190.727502
CHF	0.986208
CLF	0.030716
CLP	847.538093
CNY	7.309103
COP	5152.847453
CRC	616.848083
CUC	1.07126
CUP	28.388396
CVE	110.607837
CZK	23.763732
DJF	190.383976
DKK	7.451153
DOP	60.258526
DZD	146.502324
EGP	32.701826
ERN	16.068904
ETB	57.711219
EUR	1.0
FJD	2.332937
FKP	0.888025
GBP	0.883501
GEL	2.854846
GGP	0.888025
GHS	13.124458
GIP	0.888025
GMD	65.400776
GNF	9181.614088
GTQ	8.399095
GYD	226.061943
HKD	8.40965
HNL	26.323381
HRK	7.55752
HTG	160.493097
HUF	383.26443
IDR	16301.313501
ILS	3.777071
IMP	0.888025
INR	88.528678
IQD	1563.625794
IRR	45287.526976
ISK	153.093984
JEP	0.888025
JMD	165.174551
JOD	0.759955
JPY	142.019647
KES	134.185947
KGS	92.953032
KHR	4386.177847
KMF	494.383738
KPW	964.134216
KRW	1364.823019
KWD	0.327859
KYD	0.892846
KZT	484.097017
LAK	18055.027913
LBP	16080.92083
LKR	391.044885
LRD	168.455607
LSL	19.179648
LTL	3.163153
LVL	0.647995
LYD	5.130629
MAD	11.017429
MDL	20.08808
MGA	4628.173397
MKD	61.657137
MMK	2249.846909
MNT	3759.821521
MOP	8.662327
MRO	382.439721
MUR	49.106617
MVR	16.454536
MWK	1099.687686
MXN	19.931847
MYR	4.673375
MZN	67.595665
NAD	19.177642
NGN	493.336842
NIO	39.292839
NOK	10.832664
NPR	141.713414
NZD	1.685923
OMR	0.412426
PAB	1.071366
PEN	4.110582
PGK	3.774986
PHP	58.576657
PKR	286.051979
PLN	4.789593
PYG	7801.821653
QAR	3.900191
RON	4.899303
RSD	117.304904
RUB	79.597777
RWF	1162.698331
SAR	4.020024
SBD	8.796242
SCR	14.593786
SDG	626.147209
SEK	11.133897
SGD	1.424029
SHP	1.475556
SLE	21.141399
SLL	21130.608208
SOS	609.00996
SRD	34.655486
STD	22172.924091
SVC	9.375126
SYP	2691.572838
SZL	19.283206
THB	36.254643
TJS	11.159534
TMT	3.760123
TND	3.333224
TOP	2.503375
TRY	20.187579
TTD	7.27497
TWD	32.360094
TZS	2503.534634
UAH	39.374227
UGX	3924.366534
USD	1.07126
UYU	41.916719
UZS	12147.65657
VEF	2586370.325723
VES	25.890755
VND	25287.097952
VUV	124.392846
WST	2.872026
XAF	658.273757
XAG	0.049069
XAU	0.000579
XCD	2.895134
XDR	0.799614
XOF	658.292257
XPF	120.249093
YER	268.18978
ZAR	19.141546
ZMK	9642.628362
ZMW	20.650858
ZWL	344.94536
